"Cidade","UF","Salario.Bruto","Horas.Diarias","Tempo.de.Empresa","Experiencia.Profissional","Iniciativa.Privada.ou.Concursado","Cargo","Formacao","Pos.Graduacao.ou.Certificacao"
"Maceió","AL",2500,8,0.5,6,"Iniciativa Privada","Desenvolvedor","Ciência da Computação","FALSE"
"Recife","PE",2464,8,0.5,8,"Iniciativa Privada","Desenvolverdoer Delphi","Superior Incompleto","FALSE"
"Curitiba","PR",2400,8,1.41,6,"Iniciativa Privada","Java e UNIX","tecnologia em informatica","FALSE"
"Salvador","BA",2400,8,1,10,"Iniciativa Privada","Analista de Suporte Pleno","Analise de Sistemas","TRUE"
"Belo Horizonte","MG",2300,8,0.75,0.75,"Iniciativa Privada","Analista BI","Graduação Sistemas Informações","FALSE"
"Belo Horizonte ","MG",2300,8,1,1,"Iniciativa Privada","Desenvolvimento Java","Ciência da Computação","FALSE"
,"MG",2275,8,0.41,0.5,"Iniciativa Privada","Desenvolviment de Softwares - JR",,"FALSE"
"Maceió","AL",2250,8,0.83,5,"Concursado","Operador de Redes","Analista de Sistemas","TRUE"
"Belo Horizonte","MG",2200,8,1,1.5,"Iniciativa Privada","Desenvolvimento Java","Ciência da Computação","TRUE"
"Santos","SP",2200,8,1.91,4,,"Analista Programador",,"FALSE"
"Belo Horizonte","MG",2195,8,1,4,"Iniciativa Privada","Java, PHP, MySQL, VB","Graduação em Ciência da Computação","TRUE"
"Santa Maria",,2125,8,2,3,"Iniciativa Privada","Analista de Sistemas / Programador Delphi","Graduação em Sistemas de Informação","TRUE"
"Belo Horizonte","MG",2110,8,1,20,"Iniciativa Privada","ORACLE","Bacharel em Ciência da Computação","TRUE"
"Belo Horizonte","MG",2110,8,1,6,"Iniciativa Privada","Arquiteto Java ","Ciência da computação","FALSE"
"Belo Horizonte","MG",2110,8.8,2,5,"Iniciativa Privada","Desenvolvimento Java","Seistemas de Informação","FALSE"
"Belo Horizonte","MG",2110,8,4,5,"Iniciativa Privada","analista de rede",,"FALSE"
"Belo Horizonte","MG",2110,8,2,3,"Iniciativa Privada","Desenvolvimento Java","Ciência da Computação","TRUE"
